【1】  ★団体名（ 法人格がある場合は、省略せず正式名称を記載してください）,【2】  団体名のふりがな（法人格を除く法人名のふりがなをご記入ください）,【3】  連絡担当者氏名（ふりがな）,【4ｰ1】  ★連絡先メールアドレス①,【4ｰ2】 連絡先メールアドレス②,【4‐3】  連絡先メールアドレス③,【5】連絡先電話番号,【6】配布物・請求書（協賛）等送付先住所,【7】  ★団体ホームページURL,【8】★活動内容（80～100文字）,【9】★主な活動場所（最大50文字）,【10】★主な活動日（最大50文字）,【11】★ 団体ができることや求めていること、まちカフェ！で実施する催しなどのPRを自由にご記載ください（掲載スペース50文字）,【12】  これまでにまちカフェ！実行委員会に参加したことがありますか？（冊子掲載のみも含む）,【13】  参加形態の意向を教えてください（複数選択可）。,【14】上記【13】で5．を選択した方、まちカフェ！にご協賛いただける口数をお知らせください　,【15】上記【13】で5．を選択した方、協賛金請求書の送付方法を選択してください。,【16】  他にもまちカフェ！にご協力いただける場合は、お知らせください,【17】まちカフェ！を通じて＜達成したいこと＞を教えてください（複数回答可）。,【19】その他ご意見、ご質問等があればお書きください。,【18】  参加予定の実行委員会会議をお知らせください。
一般社団法人　町田ねこの会,まちだねこのかい,,,,,,,"https://machidanekonokai.amebaownd.com/              https://www.instagram.com/machida.nekonokai
https://ameblo.jp/machidanekonokai/",『飼い主のいない猫』を増やさないために、不妊・去勢手術を施し、一代限りの猫たちの命を地域でケアしていく方法を推進・サポートし、人と猫が安心して暮らせる町を目指して日々活動しています,町田市内ほぼ全域,毎日,飼い主のいない猫に不妊去勢手術を施すための手伝い、地域猫活動を始める際のサポート、それらの普及啓発など,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる, 飼い主にいない猫（ノラ猫）に不妊手術が必要なことを知っていただきたいです",,"1. 準備会：5月28日（木）18:30～20:30｜市庁舎3階会議室, 2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
玉川大学リベラルアーツ学部太田ゼミ,たまがわだいがくりべらるあーつがくぶおおたぜみ,,,,,,,https://www.instagram.com/ota_tamagawa?igsh=MW13dnZ3NDVnMTdkeQ==,グローバル化が進む国際社会と私たちの身近な日常生活とのつながりを岩手県陸前高田市でのゼミ合宿や学生授業を通して分析し課題解決のために行動することを目指して日々学習しています!,玉川大学,毎週水曜日13:00~16:40,陸前高田の魅力をお届けします!,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
東京都行政書士会町田支部,とうきょうとぎょうせいしょしかいまちだしぶ,,,,,,,https://gyosei-machida.jp/,無料相談会や法教育活動、地域イベントへの協力などを通じて、市民の皆さまの暮らしを支えています。相続・遺言、各種許認可申請などの専門知識を活かし、地域に寄り添う身近な法律家としてまちづくりに貢献しています。,町田市内各所で街頭無料相談会を実施　,"不定期
市役所行政手続相談は、毎週水曜日9:00～11：30",東京都行政書士会町田支部の無料相談会は、暮らしに身近な相談に対応しています。専門家へ気軽に相談できることが大きな強みです。,初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
NPO法人　みどりのゆび,えぬぴおほうじん　みどりのゆび,,,,,,,https://www.midorinoyubi-footpath.jp/,自然・歴史のウォーキング（フットパス）開催、マップや環境教材の制作、町田市から委託を受けた緑地の管理、農業の支援、安全な食物の確保と流通、緑地保全基金活動です。町田市などの自治体とも協働して活動を行っております。,町田市小野路宿周辺と町田近郊各地でのフットパス,不定期　半年ごとに活動予定日を決定,みどりのゆびが発行している「まちだ・多摩丘陵フットパス」ガイドブックをもって一緒に歩きましょう,初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
脳疲労ケア専門サロン〜KUKUNA〜,のうひろうけあせんもんさろん〜くくな〜,,,,,,,https://www.instagram.com/yui.parafuse_tokyo?igsh=dnJoMTVpNWI4dGVh&utm_source=qr,"｢脳洗浄®｣というオールハンドの手技で《脳疲労》にアプローチをし、自律神経を整える施術を提供しています。寝付きや寝起きが悪い・寝ても疲れが取れない・眼精疲労・首肩凝りなどの身体の不調を抱える方には、是非一度｢脳洗浄®｣を受けてみてほしいです！
お子様からご高齢、妊婦の方まで安心して受けることができます。",町田市旭町2丁目 自宅サロン(完全予約制),土日祝：10:00～16:00／平日：火水 19:00～21:00,15分だけ休みにきてください♫視界も気持ちも明るくすっきりになりますよ☆,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
町田ゆるぼん部,まちだ　ゆるぼんぶ,,,,,,,,町田在住の5人で始めた盆踊りチームです。「楽しくゆるく」を合言葉に、「町田音頭」などのご当地音頭を中心に月2回練習しています。1回300円。盆踊りの達人に基礎から美しく見える踊り方まで、丁寧に教えてもらえますよ！,玉川学園コミュニティセンター多目的室,毎月2回、土日のいずれか、不定期,町田出港バンドの演奏で一階のイベントスペースで円になって踊ります。みなさんもぜひご参加ください！,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,チラシ、配ります！100枚くらいで恐縮ですが。,"メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
企業組合ワーカーズ・コレクティブ轍あい　片づけ＆リユースショップはちどり,きぎょうくみあいわーかーずこれくてぃぶわだちあいかたづけあんどりゆーすしょっぷはちどり,,,,,,,"https://hachidori-machida.com/
＠hachidori.machida2024",片づけ事業をし、いらなくなったものでまだ使えるものは寄付していただきリユースショップで販売しています。もったいないをなくしたい。捨てるのではなく誰かに使ってもらいたい、そんな気持ちに寄り添いたいと考えています。また、働きずらさを抱えているかたも一緒に働ける場づくりもしています。,町田木曽団地名店街内、はちどりショップ,水曜以外　10:00～17:00,片づけ募集中　見積無料です,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
コレクティブハウス本町田居住者組合,これくてぃぶはうすほんまちだきょじゅうしゃくみあい,,,,,,,https://www.instagram.com/ch_honmachida/,ほどよい距離でつながり、対話を大切にしながら自分たちで暮らしをつくる住まいです。共用スペースで食事会やお茶会、ガーデニングを楽しみ、地域との交流も行っています。,まちのもり本町田（コレクティブハウス本町田のコモンルーム・コレクティブガーデン、ラウンジ・キッチン）,365日（日々の暮らしが活動）／定例ミーティング：毎月第4土または日,住民と語りながら、「つながる暮らし」を体験してみませんか？,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",,"1. 準備会：5月28日（木）18:30～20:30｜市庁舎3階会議室, 2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
作って楽しむ　もの作りBaBa塾♥,つくってたのしむ　ものづくりばばじゅく,,,,,,,,生活の身近な物（味噌やしめ縄）を作って、日常にうるおいと楽しみを！,アトリエ古川,不定期,祝箸の販売とワークショップ,初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,5．協賛団体・個人として参加（下記問14・15に回答ください）,個人1口,【6】  配布物・請求書（協賛）等送付先住所宛てに郵送,,"会員やメンバーなどが増える, 新しい取り組みに挑戦する, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
2nd HOUSE,セカンドハウス,,,,,,,,お店の紹介,成瀬駅周辺,火曜日～日曜日,,初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,5．協賛団体・個人として参加（下記問14・15に回答ください）,企業・団体１口,【4-1】連絡先メールアドレス宛てにメールに添付,,"メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",,
